id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
6848,Only 2 stops to Manhattan studio,15991,Allen,Brooklyn,Williamsburg,Entire home/apt,117.0,30.0,197,138
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,Private room,67.0,30.0,2,83
6990,UES Beautiful Blue Room,16800,Cynthia,Manhattan,East Harlem,Private room,77.0,30.0,251,273
7097,"Perfect for Your Parents, With Garden & Patio",17571,Jane,Brooklyn,Fort Greene,Private room,202.0,30.0,423,45
7801,Sunny Williamsburg Loft with Private Cedar Sauna,21207,Chaya,Brooklyn,Williamsburg,Entire home/apt,366.0,30.0,13,193
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,193.0,30.0,189,208
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,104.0,30.0,58,80
10452,Radiant Oasis  B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,61.0,30.0,82,288
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,124.0,30.0,81,238
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,145.0,30.0,177,228
16338,"Large Room + Private Deck, Clinton Hill Best Area",63613,Patricia,Brooklyn,Clinton Hill,Private room,57.0,30.0,33,119
16580,"Sunny, Modern room in East Village w City Views",64442,Reka,Manhattan,East Village,Private room,131.0,1.0,684,226
16821,Charming Room in Amazing East Village Apt. (B),4396,Casey,Manhattan,East Village,Private room,199.0,1.0,313,36
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,Entire home/apt,212.0,30.0,291,161
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,Entire home/apt,240.0,30.0,53,176
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,Private room,554.0,30.0,146,365
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,Private room,172.0,30.0,251,266
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,101.0,30.0,58,227
21456,Light-filled classic Central Park,42032,Dana,Manhattan,Upper West Side,Private room,86.0,30.0,79,271
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,Private room,96.0,30.0,36,281
23135,@HouseOnHenrySt Private 1 bedroom with shared use,11481,Annette,Brooklyn,Carroll Gardens,Private room,168.0,30.0,317,365
23545,Upper Upper West Side Garden Apartment Townhouse,92411,Karen,Manhattan,Harlem,Entire home/apt,211.0,30.0,214,358
24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,Brandon,Brooklyn,Park Slope,Entire home/apt,231.0,30.0,93,103
25406,Modern Brooklyn Apartment rental,105538,Erik,Brooklyn,Williamsburg,Entire home/apt,157.0,30.0,30,82
25696,Hague House,107628,Dena,Manhattan,Harlem,Private room,212.0,1.0,201,193
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,Entire home/apt,93.0,30.0,478,132
29013,Cozy Gorgeous Room,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,61.0,30.0,79,225
29628,"Comfortable, Sunny Room",127608,Chris,Brooklyn,Clinton Hill,Private room,261.0,1.0,514,238
31130,Entire apartment _Most central location!,117287,Lara Nicole,Manhattan,Hell's Kitchen,Entire home/apt,163.0,30.0,75,291
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room,167.0,2.0,639,224
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,179.0,30.0,301,207
36647,"1 Bedroom & your own Bathroom, Elevator Apartment",157798,Irene,Manhattan,East Harlem,Private room,92.0,30.0,103,257
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Private room,1187.0,3.0,43,323
39282,Cozy â€œIndie Rockâ€Room in the Heart of Williamsburg,168525,Gustavo,Brooklyn,Williamsburg,Private room,181.0,4.0,292,37
42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,Entire home/apt,544.0,30.0,70,140
42729,@HouseOnHenrySt - Private 2nd bedroom w/shared use,11481,Annette,Brooklyn,Carroll Gardens,Private room,187.0,30.0,219,364
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room,123.0,30.0,230,365
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt,405.0,30.0,13,365
45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,Private room,67.0,30.0,0,263
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room,65.0,30.0,138,144
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt,103.0,30.0,57,30
46911,Large Room pr/h Br/St in Park Slope,210746,Kathleen R,Brooklyn,Park Slope,Private room,112.0,14.0,79,284
49048,Dreamy Loft Style w own bathroom,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,72.0,30.0,31,251
52689,"Private, sunny two-bedroom near subway & shops",244071,Litza,Queens,Ditmars Steinway,Private room,257.0,3.0,137,56
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,Entire home/apt,117.0,30.0,33,365
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,Entire home/apt,171.0,30.0,5,365
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt,316.0,30.0,16,365
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,Private room,161.0,30.0,0,365
54508,S/Rm Br/st  PSlope great for  Med/Stu,210746,Kathleen R,Brooklyn,Park Slope,Private room,128.0,3.0,231,221
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,Entire home/apt,109.0,30.0,144,59
54860,Bedroom in my apartment with a private bathroom.,258164,Jenny,Manhattan,East Harlem,Private room,90.0,30.0,306,324
55959,Work From Our Home w/ Loft,168525,Gustavo,Brooklyn,Williamsburg,Private room,216.0,4.0,134,17
57166,Elegant NYC Pad,272006,Vasilios,Queens,Ditmars Steinway,Entire home/apt,148.0,30.0,169,307
57297,"Clean & cozy 1BR in Cobble Hill, GREAT location!",199392,â¨S.M.â©,Brooklyn,Brooklyn Heights,Private room,325.0,30.0,295,180
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,East Harlem,Entire home/apt,132.0,30.0,395,133
58059,Traveling Nurses and Medical Professionals,277379,Agnes,Manhattan,Harlem,Private room,53.0,30.0,689,115
59014,"Spacious 1BR, Clean, Quietâ€”Pls write b4 booking",282927,Drica,Manhattan,Lower East Side,Entire home/apt,117.0,30.0,61,115
59121,Convenient 3BR w/6 beds!!,204539,Mark,Queens,Ridgewood,Entire home/apt,180.0,30.0,4,365
60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,Entire home/apt,143.0,30.0,197,224
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,Private room,96.0,30.0,283,89
60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,Mich,Manhattan,East Village,Entire home/apt,183.0,30.0,168,362
61406,Great room in great location /Columbia Students,297176,Bethania,Manhattan,Harlem,Private room,84.0,30.0,2,261
189135,Hell's Kitchen Funky 80s Hideaway!,179020,Michael,Manhattan,Hell's Kitchen,Private room,194.0,2.0,201,74
190974,Beautiful Grdn. Apt. in Park Slope,874471,Alan,Brooklyn,Park Slope,Entire home/apt,146.0,30.0,313,364
191610,Presence Guest Room - Chelsea NYC,927028,Tony,Manhattan,Chelsea,Private room,250.0,1.0,177,124
195123,"Cheerful, comfortable room",940724,Susan,Manhattan,Washington Heights,Private room,91.0,30.0,229,365
195240,Covid Clean since '11!,949221,Thalia,Brooklyn,Flatbush,Private room,65.0,30.0,90,88
195989,"Sunny, Large, Park Slope Bedroom",611716,Elizabeth,Brooklyn,Park Slope,Private room,150.0,3.0,230,13
198744,Sun-Drenched Lincoln Center Studio,6064192,"Diane,Marie",Manhattan,Upper West Side,Entire home/apt,181.0,30.0,133,113
199733,Solo Travelers Private Garden XL Studio,241559,Demi,Brooklyn,Crown Heights,Entire home/apt,147.0,30.0,134,335
201992,Serene Park Slope Garden Apartment,988350,Andrea,Brooklyn,Park Slope,Entire home/apt,213.0,30.0,106,201
204065,St. James Place 1.5-2bdrm 1block to PRATT & Gtrain,51038,Erica,Brooklyn,Clinton Hill,Entire home/apt,150.0,30.0,115,235
205485,Ideal Brooklyn Brownstone Apartment,1010242,Christopher,Brooklyn,Bedford-Stuyvesant,Entire home/apt,158.0,30.0,158,178
206957,Bright Modern Charming Housebarge,1018472,Angus,Brooklyn,Sheepshead Bay,Private room,74.0,30.0,125,87
62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,321.0,30.0,173,48
64365,Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,Private room,61.0,30.0,258,287
65660,Bright+Spacious Williamsburg Abode!,320538,Larissa,Brooklyn,Williamsburg,Entire home/apt,110.0,30.0,164,77
66008,Charming Carroll Gardens Apartment,322884,Melissa,Brooklyn,Carroll Gardens,Entire home/apt,217.0,30.0,67,246
66251,East Village Loft with Piano & Patio,324460,Samir,Manhattan,East Village,Entire home/apt,197.0,30.0,174,94
66974,"Lovely, Modern, Garden Apartment",329436,Jana,Brooklyn,Gowanus,Entire home/apt,194.0,30.0,251,228
67299,Cozy Garden Apartment  in Williamsburg,330347,Adrienne,Brooklyn,Williamsburg,Entire home/apt,133.0,30.0,92,53
68735,Prewar Penthouse w Private Terrace,342054,Violetta,Manhattan,Upper West Side,Entire home/apt,201.0,30.0,39,264
68974,Top floor light filled loft on the Bowery,281229,Alicia,Manhattan,Nolita,Entire home/apt,782.0,30.0,248,348
74680,One Bedroom Mini studio - Free WIFI,265109,Nazleen,Queens,Astoria,Private room,106.0,30.0,269,348
75635,Bright Cozy Chinatown Studio Apt.,401696,Patricia,Manhattan,Chinatown,Entire home/apt,136.0,30.0,424,244
75658,Modern Bed Stuy loft + rooftop garden,401921,Noemi,Brooklyn,Bedford-Stuyvesant,Private room,249.0,30.0,20,364
77765,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,Hotel room,393.0,1.0,72,228
79067,3 Bdr/2ba Brownstone w/Garden. Stunning!,425506,Bliss,Brooklyn,Clinton Hill,Entire home/apt,192.0,48.0,11,195
82638,"Charming Artist's Flat, East Village",449787,Sarah,Manhattan,East Village,Entire home/apt,188.0,30.0,287,329
82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,Ruthven,Brooklyn,Bedford-Stuyvesant,Entire home/apt,117.0,30.0,83,267
83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,Julian,Brooklyn,Bushwick,Entire home/apt,69.0,30.0,252,329
83474,NY Mag & Budget Travel love us!,260682,Matthew,Brooklyn,Downtown Brooklyn,Private room,82.0,30.0,5,274
84010,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,Hotel room,393.0,1.0,40,230
93313,"Maison de sirenes 2, bohemian, ecclectic apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160.0,30.0,173,230
94783,"Beautiful, Brightâ€™s, Warm & Spacious 1.5BR Apt",473113,Keishera,Brooklyn,Crown Heights,Entire home/apt,212.0,2.0,182,149
98663,Groovy NYC Chelsea Pad,520279,Peter Michael,Manhattan,Chelsea,Entire home/apt,166.0,30.0,18,156
100002,"MANHATTAN Cozy, Neat, Nice, Bright ROOM",523218,Giorgio,Manhattan,Washington Heights,Private room,68.0,30.0,150,173
100186,Large Modern Park Slope 1BR with Balcony,526805,Mi,Brooklyn,Gowanus,Entire home/apt,148.0,30.0,127,60
105469,surf/stay regular,547386,Michelle,Queens,Rockaway Beach,Private room,77.0,30.0,16,90
106363,Bright Room With A Great River View,551055,Alicia,Manhattan,Harlem,Private room,67.0,30.0,478,172
106906,Sunny Top Floor Fort Greene Two Bedroom,553964,Justine,Brooklyn,Clinton Hill,Entire home/apt,114.0,49.0,12,96
107630,Sweet Historic Greenpoint Duplex,306739,Maya,Brooklyn,Greenpoint,Entire home/apt,197.0,30.0,353,148
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,181376,Carol,Brooklyn,Fort Greene,Private room,107.0,30.0,178,365
113265,Brooklyn- Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,Private room,58.0,30.0,279,331
115748,1 BDRM Apt-Weekends and short stays available,585166,Lilly,Queens,Astoria,Entire home/apt,117.0,30.0,43,88
116551,Beautiful Harlem Studio Apartment - private access,497672,Cynthia,Manhattan,Harlem,Entire home/apt,114.0,30.0,187,95
118061,Style in Stuyvesant Heights,2248897,Roberta,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115.0,30.0,98,226
125163,Authentic New York City Living,622855,Desmond,Brooklyn,Bedford-Stuyvesant,Entire home/apt,124.0,30.0,94,335
128975,City Room - Street View Apt,256161,Wayne,Manhattan,Harlem,Entire home/apt,103.0,30.0,133,75
136493,Historical space with exceptional light & art,663384,Irena,Brooklyn,Park Slope,Private room,413.0,3.0,55,58
140133,Truly Amazing Oasis In Williamsburg,622866,Daniel,Brooklyn,Williamsburg,Entire home/apt,241.0,30.0,193,256
141335,Architect's Brownstone,687361,Orna,Brooklyn,Park Slope,Private room,735.0,30.0,41,365
144087,LUXURY OF THE HORIZON,616825,Rinaldo & Jessa,Manhattan,Harlem,Entire home/apt,256.0,30.0,30,365
146726,Cozy authentic residence near Central Park,709334,Julie,Manhattan,Harlem,Entire home/apt,194.0,30.0,18,358
148825,Best City Area Columbia U Upper West Side C Park,718349,Bara,Manhattan,Upper West Side,Entire home/apt,140.0,31.0,315,272
150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,726333,Peter,Manhattan,Lower East Side,Private room,534.0,4.0,101,275
151199,Astoria/LIC  Private Home located near train,722320,Gigi,Queens,Astoria,Entire home/apt,331.0,1.0,572,237
152263,Cozy private room and bathroom in a Brownstone,732535,William,Manhattan,Harlem,Private room,320.0,2.0,404,310
157673,Large  Loft Style  Studio  Space,757166,Tokunbo,Brooklyn,Bedford-Stuyvesant,Entire home/apt,136.0,30.0,90,266
158061,Hancock Town House!-Stuyvesant Mews,758441,Fred,Brooklyn,Bedford-Stuyvesant,Private room,166.0,30.0,27,365
162493,Prime Williamsburg 3 BR with Deck,776490,Andres,Brooklyn,Williamsburg,Private room,769.0,31.0,57,310
166006,Nice Manhattan Apt Near Central Park and Subway,791287,Giancarlo,Manhattan,Upper West Side,Entire home/apt,180.0,31.0,191,302
168123,"Brooklyn- sunny, quiet, homelike-Park Slope South",720558,Sara,Brooklyn,Windsor Terrace,Entire home/apt,138.0,30.0,124,179
169483,Very close to Downtown Awesome Space,807642,Jeffrey,Brooklyn,Gravesend,Private room,97.0,30.0,0,365
170761,"Fort Greene, Brooklyn: Front Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room,166.0,2.0,347,218
171562,Chelsea studio with balcony & views,60923,Omri,Manhattan,Chelsea,Entire home/apt,170.0,30.0,32,78
174966,Luxury 2Bed/2.5Bath Central Park View,836168,Henry,Manhattan,Upper West Side,Entire home/apt,2765.0,30.0,25,364
179670,High-end doorman bldg in the LES,21475,Milan,Manhattan,East Village,Private room,166.0,30.0,128,83
182069,Cozy entire studio Apartment,39260,Matteo,Manhattan,East Harlem,Entire home/apt,154.0,30.0,132,291
188803,"Fort Greene, Brooklyn: Back Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room,180.0,2.0,62,17
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,800223,Nader,Manhattan,Chinatown,Private room,309.0,1.0,102,244
217580,Long term fully furnished apartment.,1121193,Samuel,Brooklyn,Fort Hamilton,Entire home/apt,117.0,30.0,12,298
219066,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,Brooklyn,Bensonhurst,Entire home/apt,80.0,30.0,38,364
219922,"Lovely Bdr in Harlem, Manhattan",1139574,Carmel,Manhattan,Harlem,Private room,106.0,30.0,36,89
222304,BEST DEAL IN CHELSEA 1 bdrm NYC,1153993,Anton,Manhattan,Chelsea,Entire home/apt,172.0,30.0,38,40
223930,Lovely Apartment,1164642,Rosalynn,Brooklyn,Prospect Heights,Entire home/apt,106.0,30.0,19,312
225354,Charming Loft Studio with Patio,1158300,Camila,Brooklyn,Williamsburg,Entire home/apt,143.0,30.0,11,248
225976,Cozy multi-leveled apartment!,1177947,Marina,Staten Island,Shore Acres,Entire home/apt,71.0,30.0,104,30
226021,Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost,815977,Ryan,Brooklyn,Williamsburg,Entire home/apt,203.0,30.0,250,193
227495,Great studio apt near Central Park,959931,Kimball,Manhattan,Upper West Side,Entire home/apt,179.0,30.0,114,117
228317,"Your Haven Awaits At ""Emma's Place""",1191142,Lady Jay,Brooklyn,Bedford-Stuyvesant,Private room,162.0,30.0,92,364
230877,Monthly Apartment Rental,292204,Blanca,Manhattan,East Harlem,Entire home/apt,164.0,30.0,130,129
232612,"Lovely pied-Ã -terre, in an historic building",1217241,Dee,Brooklyn,Bedford-Stuyvesant,Private room,177.0,2.0,599,55
233638,rooms for rent in Queens with piano,1012895,Melody,Queens,Ridgewood,Private room,90.0,30.0,24,364
235552,HUGE Sunny Duplex Loft with Garden,1234405,Bertie,Brooklyn,South Slope,Entire home/apt,361.0,30.0,39,206
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,Private room,124.0,30.0,85,364
235951,Stylish Studio with exclusive Terrace,1236070,Daniel,Manhattan,Midtown,Entire home/apt,120.0,30.0,164,165
236788,"HUGE, modern 2-LEVEL Brooklyn apt",4166168,Noemie,Brooklyn,Vinegar Hill,Entire home/apt,393.0,30.0,40,169
238683,"Comfortable, Spacious & Affordable Room in NYC",1251372,Marcia,Bronx,Co-op City,Private room,47.0,30.0,5,163
239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,Entire home/apt,277.0,30.0,57,358
245574,Brooklyn Brownstone home share,1288460,Alkhabir,Brooklyn,Bedford-Stuyvesant,Private room,354.0,2.0,300,304
248865,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,36,230
248966,"Bushwick, private bedroom private bathroom lux",1304390,Barry,Brooklyn,Bushwick,Private room,108.0,30.0,41,364
249704,"Sunny, spacious, Brooklyn apt w/ washer/dryer",966806,Mary,Brooklyn,Williamsburg,Entire home/apt,133.0,30.0,29,272
249867,HANCOCK VERY SMALL ROOM,758441,Fred,Brooklyn,Bedford-Stuyvesant,Private room,85.0,30.0,7,365
250536,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,Private room,86.0,30.0,11,358
250537,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,Entire home/apt,403.0,30.0,0,365
253332,"Spacious, modern private suite in large apartment",552343,Cynthia,Brooklyn,Sunset Park,Private room,280.0,3.0,28,295
253466,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,48,230
253471,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,31,230
253475,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,100,230
253800,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,51,223
253803,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,42,230
253806,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,49,230
253811,Loft Suite,417504,The Box House Hotel,Brooklyn,Greenpoint,Entire home/apt,536.0,1.0,73,230
253846,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,Hotel room,393.0,1.0,35,230
255476,"Vegan Share in Huge, Gorgeous Prime Wburg!",1302029,Bree,Brooklyn,Williamsburg,Private room,103.0,30.0,52,153
255601,Cozy Modern 2 Bedroom Apartment 20 min from City,47070269,Christopher,Brooklyn,Bedford-Stuyvesant,Entire home/apt,382.0,1.0,321,204
255957,Stunning NYC Views! Free Gym! Doorman! Terrace!,506779,Claudia,Manhattan,Nolita,Entire home/apt,558.0,30.0,26,297
257097,Sunny! 2br Steps to A/C train 15 to Manhattan,315401,Jaime,Brooklyn,Bedford-Stuyvesant,Entire home/apt,79.0,60.0,43,317
260755,Tribeca Artist Loft 1000 sq/feet,1366070,Rad,Manhattan,Tribeca,Entire home/apt,463.0,30.0,35,365
263232,Cozy&Clean in a great neighborhood,1381171,Nicole,Manhattan,Harlem,Entire home/apt,97.0,30.0,0,83
387666,Historic townhouse in convenient location,1939728,Michael & Aleksandra,Manhattan,Washington Heights,Private room,56.0,30.0,14,177
389482,Quaint & Quiet in Queens,1947974,â¨Constance F.â©,Queens,Briarwood,Private room,83.0,30.0,57,365
392948,Williamsburg bridge  /artist bunk small,312722,Di,Brooklyn,Williamsburg,Private room,31.0,60.0,13,355
394111,"Beautiful Bedrooms in Briarwood, NY",1947974,â¨Constance F.â©,Queens,Briarwood,Private room,84.0,30.0,13,365
396636,Stylish Designer Studio with Piano,1981742,Daniel,Manhattan,Harlem,Entire home/apt,141.0,30.0,42,365
397034,New York City for All Seasons!,70234,Richelle,Manhattan,Upper West Side,Private room,93.0,30.0,25,365
408983,Brownstone full floor 900sft. Dog and Pet Friendly,520189,Andre,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,234.0,30.0,128,318
